split,filename,question_id,rollout_idx,prefix_idx,label,family,n_tokens,shard,row_in_shard
train,bb_causal_judgement_013_rollout_007_prefix_0.json,bb_causal_judgement_013,7,0,no,big_bench,630,shard_00006,0
train,bb_date_understanding_150_rollout_007_prefix_2.json,bb_date_understanding_150,7,2,no,big_bench,630,shard_00006,1
train,bb_logical_deduction_five_objects_052_rollout_028_prefix_0.json,bb_logical_deduction_five_objects_052,28,0,no,big_bench,630,shard_00006,2
train,bb_ruin_names_221_rollout_020_prefix_0.json,bb_ruin_names_221,20,0,yes,big_bench,630,shard_00006,3
train,bb_snarks_096_rollout_011_prefix_1.json,bb_snarks_096,11,1,no,big_bench,630,shard_00006,4
train,race_25830_rollout_006_prefix_1.json,race_25830,6,1,no,race,630,shard_00006,5
train,race_47885_rollout_003_prefix_0.json,race_47885,3,0,no,race,630,shard_00006,6
train,race_6996_rollout_023_prefix_3.json,race_6996,23,3,no,race,630,shard_00006,7
train,race_1613_rollout_029_prefix_0.json,race_1613,29,0,yes,race,631,shard_00006,8
train,race_33977_rollout_005_prefix_1.json,race_33977,5,1,no,race,631,shard_00006,9
train,race_41327_rollout_009_prefix_0.json,race_41327,9,0,yes,race,631,shard_00006,10
train,race_60630_rollout_015_prefix_0.json,race_60630,15,0,yes,race,631,shard_00006,11
train,bb_causal_judgement_048_rollout_002_prefix_1.json,bb_causal_judgement_048,2,1,yes,big_bench,632,shard_00006,12
train,bb_causal_judgement_084_rollout_018_prefix_1.json,bb_causal_judgement_084,18,1,yes,big_bench,632,shard_00006,13
train,bb_navigate_104_rollout_021_prefix_0.json,bb_navigate_104,21,0,yes,big_bench,632,shard_00006,14
train,bb_reasoning_about_colored_objects_133_rollout_019_prefix_3.json,bb_reasoning_about_colored_objects_133,19,3,no,big_bench,632,shard_00006,15
train,race_32262_rollout_008_prefix_0.json,race_32262,8,0,yes,race,632,shard_00006,16
train,dd_0207_rollout_022_prefix_1.json,dd_0207,22,1,no,daily_dilemmas,633,shard_00006,17
train,race_34918_rollout_012_prefix_2.json,race_34918,12,2,no,race,633,shard_00006,18
train,race_47062_rollout_005_prefix_0.json,race_47062,5,0,no,race,633,shard_00006,19
train,race_58422_rollout_019_prefix_1.json,race_58422,19,1,yes,race,633,shard_00006,20
train,dd_0550_rollout_011_prefix_0.json,dd_0550,11,0,yes,daily_dilemmas,634,shard_00006,21
train,dd_1250_rollout_010_prefix_2.json,dd_1250,10,2,no,daily_dilemmas,634,shard_00006,22
train,race_1486_rollout_007_prefix_0.json,race_1486,7,0,yes,race,634,shard_00006,23
