split,filename,question_id,rollout_idx,prefix_idx,label,family,n_words,n_tokens
train,bb_causal_judgement_013_rollout_007_prefix_0.json,bb_causal_judgement_013,7,0,no,big_bench,296,630
train,bb_causal_judgement_013_rollout_022_prefix_0.json,bb_causal_judgement_013,22,0,yes,big_bench,708,1084
train,bb_causal_judgement_013_rollout_023_prefix_1.json,bb_causal_judgement_013,23,1,no,big_bench,294,609
train,bb_causal_judgement_013_rollout_028_prefix_0.json,bb_causal_judgement_013,28,0,no,big_bench,372,716
train,bb_causal_judgement_024_rollout_001_prefix_0.json,bb_causal_judgement_024,1,0,yes,big_bench,353,645
train,bb_causal_judgement_024_rollout_014_prefix_1.json,bb_causal_judgement_024,14,1,yes,big_bench,285,587
train,bb_causal_judgement_024_rollout_015_prefix_0.json,bb_causal_judgement_024,15,0,no,big_bench,59,283
train,bb_causal_judgement_024_rollout_017_prefix_0.json,bb_causal_judgement_024,17,0,yes,big_bench,192,452
train,bb_causal_judgement_042_rollout_000_prefix_0.json,bb_causal_judgement_042,0,0,yes,big_bench,607,988
train,bb_causal_judgement_042_rollout_005_prefix_2.json,bb_causal_judgement_042,5,2,no,big_bench,131,425
train,bb_causal_judgement_042_rollout_009_prefix_1.json,bb_causal_judgement_042,9,1,yes,big_bench,478,822
train,bb_causal_judgement_042_rollout_029_prefix_0.json,bb_causal_judgement_042,29,0,yes,big_bench,754,1201
train,bb_causal_judgement_048_rollout_002_prefix_1.json,bb_causal_judgement_048,2,1,yes,big_bench,355,632
train,bb_causal_judgement_048_rollout_005_prefix_0.json,bb_causal_judgement_048,5,0,yes,big_bench,607,913
train,bb_causal_judgement_048_rollout_014_prefix_0.json,bb_causal_judgement_048,14,0,yes,big_bench,408,705
train,bb_causal_judgement_048_rollout_023_prefix_0.json,bb_causal_judgement_048,23,0,yes,big_bench,540,872
train,bb_causal_judgement_048_rollout_025_prefix_2.json,bb_causal_judgement_048,25,2,no,big_bench,164,395
train,bb_causal_judgement_059_rollout_005_prefix_1.json,bb_causal_judgement_059,5,1,no,big_bench,512,848
train,bb_causal_judgement_059_rollout_006_prefix_2.json,bb_causal_judgement_059,6,2,no,big_bench,1308,1864
train,bb_causal_judgement_059_rollout_006_prefix_5.json,bb_causal_judgement_059,6,5,no,big_bench,508,845
train,bb_causal_judgement_059_rollout_012_prefix_2.json,bb_causal_judgement_059,12,2,no,big_bench,139,372
train,bb_causal_judgement_059_rollout_018_prefix_0.json,bb_causal_judgement_059,18,0,yes,big_bench,590,946
train,bb_causal_judgement_059_rollout_019_prefix_2.json,bb_causal_judgement_059,19,2,no,big_bench,388,683
train,bb_causal_judgement_059_rollout_023_prefix_0.json,bb_causal_judgement_059,23,0,yes,big_bench,598,956
train,bb_causal_judgement_059_rollout_025_prefix_1.json,bb_causal_judgement_059,25,1,no,big_bench,294,551
train,bb_causal_judgement_072_rollout_006_prefix_0.json,bb_causal_judgement_072,6,0,yes,big_bench,394,610
train,bb_causal_judgement_072_rollout_023_prefix_0.json,bb_causal_judgement_072,23,0,yes,big_bench,500,753
train,bb_causal_judgement_072_rollout_024_prefix_1.json,bb_causal_judgement_072,24,1,no,big_bench,270,461
train,bb_causal_judgement_072_rollout_025_prefix_0.json,bb_causal_judgement_072,25,0,yes,big_bench,518,770
train,bb_causal_judgement_072_rollout_026_prefix_2.json,bb_causal_judgement_072,26,2,no,big_bench,349,609
train,bb_causal_judgement_072_rollout_028_prefix_0.json,bb_causal_judgement_072,28,0,yes,big_bench,736,1017
train,bb_causal_judgement_072_rollout_029_prefix_0.json,bb_causal_judgement_072,29,0,no,big_bench,33,182
train,bb_causal_judgement_084_rollout_001_prefix_0.json,bb_causal_judgement_084,1,0,yes,big_bench,445,691
train,bb_causal_judgement_084_rollout_008_prefix_1.json,bb_causal_judgement_084,8,1,no,big_bench,30,182
train,bb_causal_judgement_084_rollout_014_prefix_0.json,bb_causal_judgement_084,14,0,yes,big_bench,394,624
