question_id,n_yes,n_no,A_activation_depth40,A_think_logprob,A_token_length,delta_activation_depth40,delta_think_logprob,delta_token_length
josephus_7,1,1,0.0,0.0,1.0,-1.1484284400939941,-3.0977783203125,2.0
crt_three,2,2,1.0,0.5,1.0,15.487111806869507,-0.8677864074707031,387.5
dice_even_product,1,1,1.0,0.0,1.0,0.9965457916259766,-0.5616283416748047,110.0
triangle_vertices,1,1,1.0,1.0,1.0,7.977748870849609,1.598257064819336,597.0
partition_ordered,2,2,1.0,1.0,0.5,18.552834272384644,2.5649185180664062,276.5
chessboard_squares,1,1,1.0,1.0,1.0,59.322689056396484,3.0851707458496094,353.0
lcm_three,1,1,1.0,1.0,1.0,31.79468584060669,4.377283096313477,127.0
sum_divisors_72,1,1,1.0,1.0,1.0,37.230051040649414,5.448951721191406,310.0
colored_balls,1,1,1.0,1.0,1.0,34.86697816848755,6.011274337768555,862.0
committee_women,2,2,1.0,1.0,0.5,27.326001167297363,6.316030502319336,187.5
matrix_power_entry,2,2,1.0,1.0,1.0,33.66360682249069,7.160225868225098,540.5
gcd_2024,1,1,1.0,1.0,1.0,1.78834667801857,10.064611434936523,554.0
polygon_diagonals,1,1,1.0,1.0,1.0,34.86118507385254,10.530261993408203,194.0
permutation_mississippi,2,2,1.0,1.0,1.0,34.5520977973938,11.81907844543457,620.5
modular_inverse_7_11,1,1,1.0,1.0,1.0,49.62070453166962,13.081045150756836,1000.0
binary_no_consec,1,1,1.0,1.0,1.0,7.314796447753906,14.291027069091797,1246.0
