split,filename,question_id,rollout_idx,prefix_idx,label,prefix_words,total_words,token_length,distance_from_end,yes_count,no_count,total_resamples,mean_yes_position,cot_prefix_n_words,cot_prefix_n_chars
train,bb_causal_judgement_013_rollout_000_prefix_0.json,bb_causal_judgement_013,0,0,no,307,607,,300,,,,,307,1790
train,bb_causal_judgement_013_rollout_002_prefix_0.json,bb_causal_judgement_013,2,0,yes,498,523,,25,,,,,498,2904
train,bb_causal_judgement_013_rollout_002_prefix_1.json,bb_causal_judgement_013,2,1,no,223,523,,300,,,,,223,1251
train,bb_causal_judgement_013_rollout_002_prefix_2.json,bb_causal_judgement_013,2,2,no,23,523,,500,,,,,23,124
train,bb_causal_judgement_013_rollout_004_prefix_0.json,bb_causal_judgement_013,4,0,no,145,645,,500,,,,,145,807
train,bb_causal_judgement_013_rollout_005_prefix_0.json,bb_causal_judgement_013,5,0,yes,457,502,,45,,,,,457,2616
train,bb_causal_judgement_013_rollout_006_prefix_0.json,bb_causal_judgement_013,6,0,yes,719,744,,25,,,,,719,4208
train,bb_causal_judgement_013_rollout_006_prefix_1.json,bb_causal_judgement_013,6,1,no,444,744,,300,,,,,444,2661
train,bb_causal_judgement_013_rollout_006_prefix_2.json,bb_causal_judgement_013,6,2,no,244,744,,500,,,,,244,1379
train,bb_causal_judgement_013_rollout_007_prefix_0.json,bb_causal_judgement_013,7,0,no,296,596,,300,,,,,296,1753
train,bb_causal_judgement_013_rollout_007_prefix_1.json,bb_causal_judgement_013,7,1,no,96,596,,500,,,,,96,536
train,bb_causal_judgement_013_rollout_008_prefix_0.json,bb_causal_judgement_013,8,0,yes,866,911,,45,,,,,866,4973
train,bb_causal_judgement_013_rollout_009_prefix_0.json,bb_causal_judgement_013,9,0,no,210,510,,300,,,,,210,1275
train,bb_causal_judgement_013_rollout_010_prefix_0.json,bb_causal_judgement_013,10,0,no,486,786,,300,,,,,486,2827
train,bb_causal_judgement_013_rollout_010_prefix_1.json,bb_causal_judgement_013,10,1,no,286,786,,500,,,,,286,1580
train,bb_causal_judgement_013_rollout_011_prefix_0.json,bb_causal_judgement_013,11,0,no,251,551,,300,,,,,251,1439
train,bb_causal_judgement_013_rollout_011_prefix_1.json,bb_causal_judgement_013,11,1,no,51,551,,500,,,,,51,293
train,bb_causal_judgement_013_rollout_013_prefix_0.json,bb_causal_judgement_013,13,0,yes,641,666,,25,,,,,641,3661
train,bb_causal_judgement_013_rollout_014_prefix_0.json,bb_causal_judgement_013,14,0,yes,523,548,,25,,,,,523,3177
train,bb_causal_judgement_013_rollout_014_prefix_1.json,bb_causal_judgement_013,14,1,yes,503,548,,45,,,,,503,3053
train,bb_causal_judgement_013_rollout_015_prefix_0.json,bb_causal_judgement_013,15,0,yes,455,490,,35,,,,,455,2839
train,bb_causal_judgement_013_rollout_015_prefix_1.json,bb_causal_judgement_013,15,1,yes,435,490,,55,,,,,435,2700
train,bb_causal_judgement_013_rollout_015_prefix_2.json,bb_causal_judgement_013,15,2,no,190,490,,300,,,,,190,1130
train,bb_causal_judgement_013_rollout_017_prefix_0.json,bb_causal_judgement_013,17,0,no,197,697,,500,,,,,197,1081
train,bb_causal_judgement_013_rollout_018_prefix_0.json,bb_causal_judgement_013,18,0,yes,661,686,,25,,,,,661,3971
train,bb_causal_judgement_013_rollout_019_prefix_0.json,bb_causal_judgement_013,19,0,no,539,839,,300,,,,,539,3110
train,bb_causal_judgement_013_rollout_019_prefix_1.json,bb_causal_judgement_013,19,1,no,339,839,,500,,,,,339,1896
train,bb_causal_judgement_013_rollout_020_prefix_0.json,bb_causal_judgement_013,20,0,yes,492,527,,35,,,,,492,2852
train,bb_causal_judgement_013_rollout_020_prefix_1.json,bb_causal_judgement_013,20,1,yes,482,527,,45,,,,,482,2795
train,bb_causal_judgement_013_rollout_021_prefix_0.json,bb_causal_judgement_013,21,0,yes,568,593,,25,,,,,568,3259
train,bb_causal_judgement_013_rollout_021_prefix_1.json,bb_causal_judgement_013,21,1,no,293,593,,300,,,,,293,1687
train,bb_causal_judgement_013_rollout_022_prefix_0.json,bb_causal_judgement_013,22,0,yes,708,743,,35,,,,,708,3978
train,bb_causal_judgement_013_rollout_022_prefix_1.json,bb_causal_judgement_013,22,1,yes,698,743,,45,,,,,698,3923
train,bb_causal_judgement_013_rollout_022_prefix_2.json,bb_causal_judgement_013,22,2,no,443,743,,300,,,,,443,2515
train,bb_causal_judgement_013_rollout_023_prefix_0.json,bb_causal_judgement_013,23,0,yes,759,794,,35,,,,,759,4352
train,bb_causal_judgement_013_rollout_023_prefix_1.json,bb_causal_judgement_013,23,1,no,294,794,,500,,,,,294,1649
train,bb_causal_judgement_013_rollout_024_prefix_0.json,bb_causal_judgement_013,24,0,no,706,1006,,300,,,,,706,4065
train,bb_causal_judgement_013_rollout_024_prefix_1.json,bb_causal_judgement_013,24,1,no,506,1006,,500,,,,,506,2921
train,bb_causal_judgement_013_rollout_025_prefix_0.json,bb_causal_judgement_013,25,0,yes,434,459,,25,,,,,434,2552
train,bb_causal_judgement_013_rollout_025_prefix_1.json,bb_causal_judgement_013,25,1,yes,424,459,,35,,,,,424,2479
train,bb_causal_judgement_013_rollout_025_prefix_2.json,bb_causal_judgement_013,25,2,yes,404,459,,55,,,,,404,2351
train,bb_causal_judgement_013_rollout_025_prefix_3.json,bb_causal_judgement_013,25,3,no,159,459,,300,,,,,159,884
train,bb_causal_judgement_013_rollout_026_prefix_0.json,bb_causal_judgement_013,26,0,yes,474,509,,35,,,,,474,2780
train,bb_causal_judgement_013_rollout_026_prefix_1.json,bb_causal_judgement_013,26,1,yes,464,509,,45,,,,,464,2717
train,bb_causal_judgement_013_rollout_028_prefix_0.json,bb_causal_judgement_013,28,0,no,372,672,,300,,,,,372,2100
train,bb_causal_judgement_013_rollout_029_prefix_0.json,bb_causal_judgement_013,29,0,no,197,497,,300,,,,,197,1125
train,bb_causal_judgement_024_rollout_000_prefix_0.json,bb_causal_judgement_024,0,0,yes,362,407,,45,,,,,362,1980
train,bb_causal_judgement_024_rollout_001_prefix_0.json,bb_causal_judgement_024,1,0,yes,353,398,,45,,,,,353,2039
